set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
conditioned,19,conditioned64[19](c4=26),64,4,3.464102,random,3.218302,-0.2458,2000,0.405,2000
conditioned,19,conditioned64[19](c4=26),64,4,3.464102,anneal,3.201268,-0.262834,2000,0.391,2000
conditioned,19,conditioned64[19](c4=26),64,4,3.464102,tabu,3.143878,-0.320224,2000,0.375,2000
circulant,0,"C24(1,2)",24,4,3.464102,family,2.768375,-0.695726,2000,0.133,2000
circulant,0,"C24(1,2)",24,4,3.464102,randcon,3.095623,-0.368478,2000,0.105,2000
circulant,0,"C24(1,2)",24,4,3.464102,random,2.867726,-0.596376,2000,0.11,2000
circulant,0,"C24(1,2)",24,4,3.464102,anneal,2.793604,-0.670497,2000,0.093,2000
circulant,0,"C24(1,2)",24,4,3.464102,tabu,2.821266,-0.642836,2000,0.089,2000
circulant,1,"C28(1,2)",28,4,3.464102,family,2.784204,-0.679897,2000,0.154,2000
circulant,1,"C28(1,2)",28,4,3.464102,randcon,3.51179,0.047689,2000,0.132,2000
circulant,1,"C28(1,2)",28,4,3.464102,random,2.905223,-0.558878,2000,0.128,2000
circulant,1,"C28(1,2)",28,4,3.464102,anneal,2.829805,-0.634297,2000,0.108,2000
circulant,1,"C28(1,2)",28,4,3.464102,tabu,2.820387,-0.643715,2000,0.103,2000
circulant,2,"C32(1,2)",32,4,3.464102,family,2.794518,-0.669584,2000,0.175,2000
circulant,2,"C32(1,2)",32,4,3.464102,randcon,3.520462,0.056361,2000,0.154,2000
circulant,2,"C32(1,2)",32,4,3.464102,random,3.063566,-0.400536,2000,0.15,2000
circulant,2,"C32(1,2)",32,4,3.464102,anneal,2.832761,-0.631341,2000,0.131,2000
circulant,2,"C32(1,2)",32,4,3.464102,tabu,2.835144,-0.628958,2000,0.126,2000
circulant,3,"C36(1,2)",36,4,3.464102,family,2.801607,-0.662495,2000,0.234,2000
circulant,3,"C36(1,2)",36,4,3.464102,randcon,3.415448,-0.048653,2000,0.206,2000
circulant,3,"C36(1,2)",36,4,3.464102,random,3.007967,-0.456134,2000,0.197,2000
circulant,3,"C36(1,2)",36,4,3.464102,anneal,2.845227,-0.618875,2000,0.167,2000
circulant,3,"C36(1,2)",36,4,3.464102,tabu,2.824858,-0.639244,2000,0.165,2000
circulant,4,"C40(1,2)",40,4,3.464102,family,2.806687,-0.657415,2000,0.247,2000
